CODIGO	PROVINCIA	TECNOLOGIA	PRODUCCION_EN_BORNES_DE_LOS_GENERADORES_GWh	PRODUCCION_NETA_GWH	YEAR	PROD_NETAGBH_X_HAB100K	POP100K	PROD_NETAGWH_X_PIBG	PIBG
02	ALBACETE	Combustibles	108.00	104.00	2020	26.79	3.88	13.31	7.81
02	ALBACETE	Combustibles	110	106	2021	27.43	3.86	0
02	ALBACETE	Combustibles	134.85	129.44	2014	32.61	3.97	18.79	6.89
02	ALBACETE	Combustibles	145.00	140.00	2019	36.07	3.88	16.52	8.48
02	ALBACETE	Combustibles	149.55	143.92	2013	35.98	4.00	20.61	6.98
02	ALBACETE	Combustibles	159.89	159	2016	40.55	3.92	21.32	7.46
02	ALBACETE	Combustibles	160.00	154.00	2018	39.61	3.89	18.85	8.17
02	ALBACETE	Combustibles	160.04	153.67	2015	38.95	3.95	21.07	7.29
02	ALBACETE	Combustibles	176.30	175.46	2017	44.99	3.90	22.32	7.86
02	ALBACETE	Combustibles	72	70	2022	18.15	3.86	0
02	ALBACETE	Energia Mareomotriz. olas	0.00	0.00	2021	0.00	3.86	0
02	ALBACETE	Energia Mareomotriz. olas	0.00	0.00	2022	0.00	3.86	0
02	ALBACETE	Eolica	3976.39	3903.33	2015	989.24	3.95	535.21	7.29
02	ALBACETE	Eolica	4010.00	3912.00	2020	1007.55	3.88	500.68	7.81
02	ALBACETE	Eolica	4182.67	4075.35	2017	1044.88	3.90	518.42	7.86
02	ALBACETE	Eolica	4254.97	4177.25	2016	1065.30	3.92	560.24	7.46
02	ALBACETE	Eolica	4301.00	4206.00	2022	1090.41	3.86	0
02	ALBACETE	Eolica	4304.00	4199.00	2021	1086.52	3.86	0
02	ALBACETE	Eolica	4585.00	4482.00	2019	1154.66	3.88	528.85	8.48
02	ALBACETE	Eolica	4619.68	4513.13	2014	1136.85	3.97	655.31	6.89
02	ALBACETE	Eolica	4660.00	4539.00	2018	1167.48	3.89	555.49	8.17
02	ALBACETE	Eolica	4771.79	4676.18	2013	1169.02	4.00	669.74	6.98
02	ALBACETE	Hidraulica	13.00	13.00	2022	3.37	3.86	0
02	ALBACETE	Hidraulica	165.00	162.00	2020	41.72	3.88	20.73	7.81
02	ALBACETE	Hidraulica	168.03	166.92	2016	42.57	3.92	22.39	7.46
02	ALBACETE	Hidraulica	173.00	171.00	2018	43.98	3.89	20.93	8.17
02	ALBACETE	Hidraulica	174.00	172.00	2019	44.31	3.88	20.29	8.48
02	ALBACETE	Hidraulica	198.00	195.00	2021	50.46	3.86	0
02	ALBACETE	Hidraulica	202.31	200.1	2015	50.71	3.95	27.44	7.29
02	ALBACETE	Hidraulica	295.44	293.12	2013	73.28	4.00	41.98	6.98
02	ALBACETE	Hidraulica	314.85	313.16	2014	78.88	3.97	45.47	6.89
02	ALBACETE	Hidraulica	69.52	68.91	2017	17.67	3.90	8.77	7.86
02	ALBACETE	Nuclear	0.00	0.00	2013	0.00	4.00	0.00	6.98
02	ALBACETE	Nuclear	0.00	0.00	2014	0.00	3.97	0.00	6.89
02	ALBACETE	Nuclear	0.00	0.00	2015	0.00	3.95	0.00	7.29
02	ALBACETE	Nuclear	0.00	0.00	2016	0.00	3.92	0.00	7.46
02	ALBACETE	Nuclear	0.00	0.00	2017	0.00	3.90	0.00	7.86
02	ALBACETE	Nuclear	0.00	0.00	2018	0.00	3.89	0.00	8.17
02	ALBACETE	Nuclear	0.00	0.00	2019	0.00	3.88	0.00	8.48
02	ALBACETE	Nuclear	0.00	0.00	2020	0.00	3.88	0.00	7.81
02	ALBACETE	Nuclear	0.00	0.00	2021	0.00	3.86	0
02	ALBACETE	Nuclear	0.00	0.00	2022	0.00	3.86	0
02	ALBACETE	Solar fotovoltaica	1037.00	1026.00	2020	264.25	3.88	131.31	7.81
02	ALBACETE	Solar fotovoltaica	1101.00	1090.00	2021	282.04	3.86	0
02	ALBACETE	Solar fotovoltaica	1539.00	1524.00	2022	395.10	3.86	0
02	ALBACETE	Solar fotovoltaica	535.00	530.00	2018	136.32	3.89	64.86	8.17
02	ALBACETE	Solar fotovoltaica	552.43	546.96	2016	139.49	3.92	73.36	7.46
02	ALBACETE	Solar fotovoltaica	570.13	570.13	2014	143.61	3.97	82.78	6.89
02	ALBACETE	Solar fotovoltaica	573.73	573.73	2015	145.40	3.95	78.67	7.29
02	ALBACETE	Solar fotovoltaica	577.10	577.10	2013	144.27	4.00	82.65	6.98
02	ALBACETE	Solar fotovoltaica	588.57	582.74	2017	149.41	3.90	74.13	7.86
02	ALBACETE	Solar fotovoltaica	589.00	583.00	2019	150.19	3.88	68.79	8.48
02	ALBACETE	Solar termica	0.00	0.00	2013	0.00	4.00	0.00	6.98
